fiber	pul_id	gene_name	hmm_name	position	contig_id	gene_id	start	end	strand	description	n_genes	n_unique_genes	growth
starch	starch_NC_004663.1_cl1	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_31	22906	26169	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl1	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_32	26182	28011	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl100	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_3764	4759381	4762488	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl100	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_3765	4762513	4764588	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl101	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_3774	4780042	4783143	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl101	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_3775	4783156	4785171	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl102	GH13	Alpha-amylase	6	NC_004663.1	NC_004663.1_3791	4800873	4802951	-	Alpha amylase, catalytic domain	8	6	TRUE
starch	starch_NC_004663.1_cl102	SusF_SusE	SusF_SusE	1	NC_004663.1	NC_004663.1_3792	4803061	4804518	-	Outer membrane protein SusF_SusE	8	6	TRUE
starch	starch_NC_004663.1_cl102	SusF_SusE	SusF_SusE	1	NC_004663.1	NC_004663.1_3793	4804544	4805707	-	Outer membrane protein SusF_SusE	8	6	TRUE
starch	starch_NC_004663.1_cl102	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_3794	4805742	4807397	-	SusD family	8	6	TRUE
starch	starch_NC_004663.1_cl102	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_3795	4807419	4810430	-	TonB dependent receptor	8	6	TRUE
starch	starch_NC_004663.1_cl102	GH97	Glyco_hydro_97	4	NC_004663.1	NC_004663.1_3796	4810585	4812801	-	Glycoside hydrolase 97	8	6	TRUE
starch	starch_NC_004663.1_cl102	GH13	Alpha-amylase	6	NC_004663.1	NC_004663.1_3797	4812998	4814851	-	Alpha amylase, catalytic domain	8	6	TRUE
starch	starch_NC_004663.1_cl102	SusR	SusR	7	NC_004663.1	NC_004663.1_3798	4815095	4816693	+	-	8	6	TRUE
starch	starch_NC_004663.1_cl104	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_3890	4918843	4921944	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl104	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_3891	4921964	4923943	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl105	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_3958	5015957	5019088	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl105	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_3959	5019100	5021031	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl106	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_4054	5132450	5135593	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl106	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_4055	5135615	5137549	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl107	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_4060	5146676	5149828	+	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl107	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_4061	5149853	5151817	+	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl109	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_4142	5248793	5250634	-	SusD family	2	2	FALSE
starch	starch_NC_004663.1_cl109	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_4143	5250659	5253760	-	TonB dependent receptor	2	2	FALSE
starch	starch_NC_004663.1_cl11	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_368	433972	435777	-	SusD family	4	2	FALSE
starch	starch_NC_004663.1_cl11	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_369	435803	438946	-	TonB dependent receptor	4	2	FALSE
starch	starch_NC_004663.1_cl11	SusD_RagB	SusD_RagB	2	NC_004663.1	NC_004663.1_370	438957	440732	-	SusD family	4	2	FALSE
starch	starch_NC_004663.1_cl11	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_371	440745	443828	-	TonB dependent receptor	4	2	FALSE
starch	starch_NC_004663.1_cl112	TonB	TonB_dep_Rec	3	NC_004663.1	NC_004663.1_4186	5322832	5325933	+	TonB dependent receptor	3	2	FALSE
