fiber	pul_id	gene_name	hmm_name	position	contig_id	gene_id	start	end	strand	description	n_genes	n_unique_genes	growth
mucin	mucin_NC_004663.1_cl103	SusDlike	SusD-like	5	NC_004663.1	NC_004663.1_2616	3192720	3194363	-	Susd and RagB outer membrane lipoprotein	4	4	FALSE
mucin	mucin_NC_004663.1_cl103	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_2617	3194382	3197753	-	TonB dependent receptor	4	4	FALSE
mucin	mucin_NC_004663.1_cl103	anti-sigma	FecR	2	NC_004663.1	NC_004663.1_2618	3197963	3198901	-	FecR protein	4	4	FALSE
mucin	mucin_NC_004663.1_cl103	ECF-sigma	Sigma70_r2	1	NC_004663.1	NC_004663.1_2619	3199007	3199567	-	Sigma-70 region 2	4	4	FALSE
mucin	mucin_NC_004663.1_cl107	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_2683	3273006	3276110	-	TonB dependent receptor	3	3	FALSE
mucin	mucin_NC_004663.1_cl107	HTCS	HisKA	11	NC_004663.1	NC_004663.1_2686	3277939	3281976	-	His Kinase A (phospho-acceptor) domain	3	3	FALSE
mucin	mucin_NC_004663.1_cl107	GH92	Glyco_hydro_92	9	NC_004663.1	NC_004663.1_2687	3282187	3284469	+	Glycosyl hydrolase family 92	3	3	FALSE
mucin	mucin_NC_004663.1_cl11	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_324	382145	385333	+	TonB dependent receptor	4	3	FALSE
mucin	mucin_NC_004663.1_cl11	SusDlike	SusD-like	5	NC_004663.1	NC_004663.1_325	385353	386567	+	Susd and RagB outer membrane lipoprotein	4	3	FALSE
mucin	mucin_NC_004663.1_cl11	SusDlike	SusD-like	5	NC_004663.1	NC_004663.1_326	386576	386947	+	Susd and RagB outer membrane lipoprotein	4	3	FALSE
mucin	mucin_NC_004663.1_cl11	ECF-sigma	Sigma70_r2	1	NC_004663.1	NC_004663.1_333	391486	392007	-	Sigma-70 region 2	4	3	FALSE
mucin	mucin_NC_004663.1_cl110	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_2880	3502745	3505918	+	TonB dependent receptor	2	1	FALSE
mucin	mucin_NC_004663.1_cl110	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_2882	3507717	3510497	+	TonB dependent receptor	2	1	FALSE
mucin	mucin_NC_004663.1_cl111	GH16	Glyco_hydro_16	7	NC_004663.1	NC_004663.1_2886	3515351	3516469	+	Glycosyl hydrolases family 16	3	3	FALSE
mucin	mucin_NC_004663.1_cl111	GH18_chitinase	Glyco_hydro_18	8	NC_004663.1	NC_004663.1_2887	3516595	3517638	+	Glycosyl hydrolases family 18	3	3	FALSE
mucin	mucin_NC_004663.1_cl111	HTCS	HisKA	11	NC_004663.1	NC_004663.1_2888	3518178	3522107	-	His Kinase A (phospho-acceptor) domain	3	3	FALSE
mucin	mucin_NC_004663.1_cl112	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_2922	3571213	3574341	-	TonB dependent receptor	2	2	FALSE
mucin	mucin_NC_004663.1_cl112	HTCS	HisKA	11	NC_004663.1	NC_004663.1_2923	3574578	3578591	-	His Kinase A (phospho-acceptor) domain	2	2	FALSE
mucin	mucin_NC_004663.1_cl119	GH92	Glyco_hydro_92	9	NC_004663.1	NC_004663.1_3014	3710631	3713324	-	Glycosyl hydrolase family 92	3	3	FALSE
mucin	mucin_NC_004663.1_cl119	glucanase	Laminin_G_3	10	NC_004663.1	NC_004663.1_3016	3714548	3715495	-	Concanavalin A-like lectin/glucanases superfamily	3	3	FALSE
mucin	mucin_NC_004663.1_cl119	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_3018	3717066	3720032	-	TonB dependent receptor	3	3	FALSE
mucin	mucin_NC_004663.1_cl12	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_369	435803	438946	-	TonB dependent receptor	4	3	FALSE
mucin	mucin_NC_004663.1_cl12	TonB	TonB_dep_Rec	4	NC_004663.1	NC_004663.1_371	440745	443828	-	TonB dependent receptor	4	3	FALSE
mucin	mucin_NC_004663.1_cl12	glucanase	Laminin_G_3	10	NC_004663.1	NC_004663.1_372	443848	446157	-	Concanavalin A-like lectin/glucanases superfamily	4	3	FALSE
mucin	mucin_NC_004663.1_cl12	HTCS	HisKA	11	NC_004663.1	NC_004663.1_373	446387	450649	-	His Kinase A (phospho-acceptor) domain	4	3	FALSE
mucin	mucin_NC_004663.1_cl122	ECF-sigma	Sigma70_r2	1	NC_004663.1	NC_004663.1_3080	3801071	3801682	-	Sigma-70 region 2	3	3	FALSE
mucin	mucin_NC_004663.1_cl122	anti-sigma	FecR	2	NC_004663.1	NC_004663.1_3081	3801841	3802749	+	FecR protein	3	3	FALSE
mucin	mucin_NC_004663.1_cl122	SusC	CarbopepD_reg_2	3	NC_004663.1	NC_004663.1_3082	3802798	3806184	+	CarboxypepD_reg-like domain	3	3	FALSE
