fiber	pul_id	gene_name	hmm_name	position	contig_id	gene_id	start	end	strand	description	n_genes	n_unique_genes	growth
heparin	heparin_NC_004663.1_cl1	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_14	10857	13316	+	Response regulator receiver domain	2	1	FALSE
heparin	heparin_NC_004663.1_cl1	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_15	13288	14586	+	Response regulator receiver domain	2	1	FALSE
heparin	heparin_NC_004663.1_cl10	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_213	222704	225646	+	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl10	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_214	225665	227200	+	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl100	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2253	2755560	2757302	-	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl100	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2254	2757331	2760693	-	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl101	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2259	2767291	2768934	-	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl101	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2260	2768949	2771939	-	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl104	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2325	2847074	2850154	+	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl104	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2326	2850174	2851583	+	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl105	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2422	2942417	2945503	+	TonB dependent receptor	4	3	FALSE
heparin	heparin_NC_004663.1_cl105	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2423	2945516	2947354	+	SusD family	4	3	FALSE
heparin	heparin_NC_004663.1_cl105	TonB_plug	Plug	7	NC_004663.1	NC_004663.1_2424	2947596	2950673	+	TonB-dependent Receptor Plug Domain	4	3	FALSE
heparin	heparin_NC_004663.1_cl105	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2425	2950707	2952200	+	SusD family	4	3	FALSE
heparin	heparin_NC_004663.1_cl106	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2449	2977831	2980062	+	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl106	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_2450	2980116	2984249	-	Response regulator receiver domain	2	2	FALSE
heparin	heparin_NC_004663.1_cl107	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2452	2985949	2989032	+	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl107	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2453	2989045	2991024	+	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl110	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2517	3078618	3080336	-	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl110	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2518	3080348	3083752	-	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl112	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2585	3162750	3165878	+	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl112	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2586	3165906	3167933	+	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl115	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_2675	3258569	3259849	-	Response regulator receiver domain	2	1	FALSE
heparin	heparin_NC_004663.1_cl115	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_2676	3259854	3262226	-	Response regulator receiver domain	2	1	FALSE
heparin	heparin_NC_004663.1_cl116	GH88	Glyco_hydro_88	5	NC_004663.1	NC_004663.1_2680	3268467	3270020	-	Glycosyl Hydrolase Family 88	4	4	FALSE
heparin	heparin_NC_004663.1_cl116	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2682	3271013	3272995	-	SusD family	4	4	FALSE
heparin	heparin_NC_004663.1_cl116	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2683	3273006	3276110	-	TonB dependent receptor	4	4	FALSE
heparin	heparin_NC_004663.1_cl116	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_2686	3277939	3281976	-	Response regulator receiver domain	4	4	FALSE
heparin	heparin_NC_004663.1_cl118	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2865	3480830	3484081	+	TonB dependent receptor	2	2	FALSE
heparin	heparin_NC_004663.1_cl118	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2866	3484094	3486094	+	SusD family	2	2	FALSE
heparin	heparin_NC_004663.1_cl119	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2880	3502745	3505918	+	TonB dependent receptor	4	2	FALSE
heparin	heparin_NC_004663.1_cl119	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2881	3505930	3507687	+	SusD family	4	2	FALSE
heparin	heparin_NC_004663.1_cl119	TonB	TonB_dep_Rec	8	NC_004663.1	NC_004663.1_2882	3507717	3510497	+	TonB dependent receptor	4	2	FALSE
heparin	heparin_NC_004663.1_cl119	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2883	3510520	3512241	+	SusD family	4	2	FALSE
heparin	heparin_NC_004663.1_cl12	HTCS	Response_reg	9	NC_004663.1	NC_004663.1_275	299864	303976	+	Response regulator receiver domain	5	3	FALSE
heparin	heparin_NC_004663.1_cl12	TonB_plug	Plug	7	NC_004663.1	NC_004663.1_276	304251	307184	+	TonB-dependent Receptor Plug Domain	5	3	FALSE
heparin	heparin_NC_004663.1_cl12	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_277	307218	308756	+	SusD family	5	3	FALSE
heparin	heparin_NC_004663.1_cl12	TonB_plug	Plug	7	NC_004663.1	NC_004663.1_280	310606	313776	+	TonB-dependent Receptor Plug Domain	5	3	FALSE
heparin	heparin_NC_004663.1_cl12	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_281	313801	315312	+	SusD family	5	3	FALSE
heparin	heparin_NC_004663.1_cl121	SusD_RagB	SusD_RagB	6	NC_004663.1	NC_004663.1_2921	3569259	3571199	-	SusD family	3	3	FALSE
