fiber	pul_id	gene_name	hmm_name	position	contig_id	gene_id	start	end	strand	description	n_genes	n_unique_genes	growth
arabinoxylan	arabinoxylan_NC_004663.1_cl10	GH43_1	Glyco_hydro_43	2	NC_004663.1	NC_004663.1_367	432012	433937	-	Glycosyl hydrolases family 43	5	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl10	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_368	433972	435777	-	SusD family	5	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl10	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_369	435803	438946	-	TonB dependent receptor	5	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl10	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_370	438957	440732	-	SusD family	5	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl10	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_371	440745	443828	-	TonB dependent receptor	5	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl100	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2682	3271013	3272995	-	SusD family	3	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl100	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_2683	3273006	3276110	-	TonB dependent receptor	3	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl100	Cell_signaling	Reg_prop	11	NC_004663.1	NC_004663.1_2686	3277939	3281976	-	Two component regulator propeller	3	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl102	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_2865	3480830	3484081	+	TonB dependent receptor	2	2	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl102	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2866	3484094	3486094	+	SusD family	2	2	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl103	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_2880	3502745	3505918	+	TonB dependent receptor	4	2	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl103	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2881	3505930	3507687	+	SusD family	4	2	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl103	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_2882	3507717	3510497	+	TonB dependent receptor	4	2	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl103	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2883	3510520	3512241	+	SusD family	4	2	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl106	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2921	3569259	3571199	-	SusD family	3	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl106	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_2922	3571213	3574341	-	TonB dependent receptor	3	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl106	Cell_signaling	Reg_prop	11	NC_004663.1	NC_004663.1_2923	3574578	3578591	-	Two component regulator propeller	3	3	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2955	3613724	3615598	-	SusD family	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	TonB_plug	Plug	9	NC_004663.1	NC_004663.1_2956	3615607	3618681	-	TonB-dependent Receptor Plug Domain	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	GH43_1	Glyco_hydro_43	2	NC_004663.1	NC_004663.1_2957	3618732	3619724	-	Glycosyl hydrolases family 43	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	Cell_signaling	Reg_prop	11	NC_004663.1	NC_004663.1_2959	3621614	3625594	-	Two component regulator propeller	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	GH43_1	Glyco_hydro_43	2	NC_004663.1	NC_004663.1_2960	3626229	3627212	-	Glycosyl hydrolases family 43	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	GH43_1	Glyco_hydro_43	2	NC_004663.1	NC_004663.1_2963	3629527	3630504	-	Glycosyl hydrolases family 43	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	GH43_1	Glyco_hydro_43	2	NC_004663.1	NC_004663.1_2964	3630640	3631665	-	Glycosyl hydrolases family 43	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2967	3634096	3636018	-	SusD family	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl107	TonB	TonB_dep_Rec	10	NC_004663.1	NC_004663.1_2968	3636030	3639233	-	TonB dependent receptor	9	5	FALSE
arabinoxylan	arabinoxylan_NC_004663.1_cl109	SusD_RagB	SusD_RagB	8	NC_004663.1	NC_004663.1_2982	3660858	3662780	-	SusD family	4	4	FALSE
